# Hayabusa2 data processed
#=================================================================================================================================================================================================
# |------ Spacecraft ------| |------ Earth ------| |------ 1999JU3 ------|
# UTC L+ X Y Z X Y Z X Y Z Rs Re Ra Vs Ve alpha delta Dflt
# [day] [au] [au] [au] [au] [au] [au] [au] [au] [au] [10^4km] [10^4km] [10^4km] [km/s] [km/s] [deg] [deg] [10^4km]
#--------1---------------2--------3---------4---------5---------6---------7---------8---------9---------10--------11--------12---------13---------14-------15-------16-------17-------18-----19----
2014/12/31.05:00:00 28.0 -0.137759 1.016567 -0.055874 -0.157532 0.970629 -0.000030 -0.502647 -1.262419 -0.008115 15369.4 1121.5 34534.8 29.01 4.68 72.92 -26.08 7159.7
2015/01/01.05:00:00 29.0 -0.154369 1.015487 -0.057698 -0.174764 0.967652 -0.000030 -0.490738 -1.268959 -0.006738 15390.2 1161.7 34551.7 28.97 4.69 73.03 -25.87 7410.2
2015/01/02.05:00:00 30.0 -0.170937 1.014131 -0.059507 -0.191940 0.964375 -0.000029 -0.478772 -1.275350 -0.005360 15410.9 1201.9 34567.8 28.93 4.69 73.14 -25.65 7660.4
2015/01/03.05:00:00 31.0 -0.187459 1.012500 -0.061299 -0.209056 0.960800 -0.000028 -0.466749 -1.281592 -0.003981 15431.5 1242.1 34583.2 28.89 4.70 73.26 -25.43 7910.2
2015/01/04.05:00:00 32.0 -0.203869 1.010612 -0.063101 -0.226107 0.956927 -0.000028 -0.454672 -1.287685 -0.002602 15452.0 1283.0 34598.0 28.85 4.70 73.35 -25.20 8158.7
2015/01/05.05:00:00 33.0 -0.220284 1.008437 -0.064861 -0.243087 0.952758 -0.000028 -0.442543 -1.293628 -0.001223 15472.2 1323.2 34611.6 28.81 4.71 73.48 -24.97 8407.8
2015/01/06.05:00:00 34.0 -0.236640 1.005993 -0.066603 -0.259992 0.948294 -0.000028 -0.430362 -1.299421 0.000157 15492.3 1363.4 34624.5 28.77 4.72 73.61 -24.73 8656.6
2015/01/07.05:00:00 35.0 -0.252933 1.003280 -0.068327 -0.276817 0.943536 -0.000028 -0.418131 -1.305064 0.001536 15512.2 1403.7 34636.4 28.74 4.73 73.76 -24.49 8905.0
2015/01/08.05:00:00 36.0 -0.269159 1.000301 -0.070033 -0.293556 0.938486 -0.000028 -0.405852 -1.310557 0.002916 15531.9 1444.0 34647.6 28.70 4.73 73.91 -24.25 9153.2
2015/01/09.05:00:00 37.0 -0.285313 0.997058 -0.071720 -0.310205 0.933145 -0.000028 -0.393527 -1.315900 0.004295 15551.5 1484.3 34657.9 28.66 4.74 74.06 -24.00 9400.9
2015/01/10.05:00:00 38.0 -0.301393 0.993552 -0.073388 -0.326759 0.927513 -0.000028 -0.381157 -1.321093 0.005673 15570.9 1524.6 34667.3 28.62 4.75 74.22 -23.75 9648.4
2015/01/11.05:00:00 39.0 -0.317393 0.989785 -0.075038 -0.343213 0.921594 -0.000028 -0.368743 -1.326135 0.007051 15590.1 1564.9 34675.9 28.59 4.77 74.39 -23.49 9895.5
2015/01/12.05:00:00 40.0 -0.333311 0.985759 -0.076667 -0.359562 0.915388 -0.000029 -0.356288 -1.331027 0.008428 15609.1 1605.3 34683.7 28.55 4.78 74.56 -23.23 10142.4
2015/01/13.05:00:00 41.0 -0.349142 0.981476 -0.078276 -0.375800 0.908897 -0.000029 -0.343792 -1.335769 0.009804 15628.0 1645.6 34690.6 28.51 4.79 74.74 -22.96 10388.9
2015/01/14.05:00:00 42.0 -0.364882 0.976939 -0.079865 -0.391923 0.902123 -0.000029 -0.331258 -1.340359 0.011179 15646.6 1686.0 34696.7 28.48 4.80 74.93 -22.70 10635.1
2015/01/15.05:00:00 43.0 -0.380528 0.972149 -0.081434 -0.407925 0.895067 -0.000030 -0.318686 -1.344799 0.012553 15665.0 1726.5 34701.9 28.44 4.82 75.12 -22.43 10881.0
2015/01/16.05:00:00 44.0 -0.396075 0.967108 -0.082981 -0.423801 0.887732 -0.000030 -0.306079 -1.349089 0.013925 15683.3 1766.9 34706.2 28.41 4.83 75.32 -22.15 11126.6
2015/01/17.05:00:00 45.0 -0.411521 0.961819 -0.084507 -0.439547 0.880120 -0.000030 -0.293437 -1.353227 0.015296 15701.3 1807.4 34709.8 28.38 4.85 75.52 -21.87 11371.9
2015/01/18.05:00:00 46.0 -0.426862 0.956284 -0.086011 -0.455157 0.872232 -0.000030 -0.280763 -1.357215 0.016665 15719.1 1847.9 34712.4 28.34 4.87 75.74 -21.59 11616.9
2015/01/19.05:00:00 47.0 -0.442094 0.950505 -0.087493 -0.470625 0.864072 -0.000030 -0.268057 -1.361052 0.018033 15736.7 1888.4 34714.2 28.31 4.88 75.96 -21.31 11861.6
2015/01/20.05:00:00 48.0 -0.457214 0.944484 -0.088953 -0.485947 0.855641 -0.000029 -0.255322 -1.364738 0.019398 15754.1 1928.9 34715.1 28.28 4.90 76.19 -21.02 12106.1
2015/01/21.05:00:00 49.0 -0.472217 0.938224 -0.090390 -0.501117 0.846943 -0.000029 -0.242558 -1.368273 0.020761 15771.2 1969.5 34715.2 28.24 4.92 76.43 -20.73 12350.2
2015/01/22.05:00:00 50.0 -0.487102 0.931727 -0.091805 -0.516130 0.837981 -0.000028 -0.229768 -1.371657 0.022122 15788.1 2010.1 34714.4 28.21 4.94 76.67 -20.44 12594.1
2015/01/23.05:00:00 51.0 -0.501864 0.924995 -0.093196 -0.530982 0.828757 -0.000027 -0.216953 -1.374891 0.023480 15804.8 2050.6 34712.7 28.18 4.95 76.92 -20.14 12837.7
2015/01/24.05:00:00 52.0 -0.516500 0.918031 -0.094564 -0.545667 0.819276 -0.000026 -0.204113 -1.377974 0.024836 15821.3 2091.2 34710.2 28.15 4.97 77.18 -19.84 13081.1
